Action Stock Horse Foal,Model Number,Name,Color,Release Dates,Released Through/Notes
Trakehner,3368,Life Guards of the Queens Household CavalryWith costumed Life Guards solder and English tack,"dark bay, star, black points",2003,"Limited Edition(5,000 made)"
Trakehner,6984,"U.S.E.T. Traditional AssortmentWithHalla,Hanoverian,Jumping Horse(2),Morganglanz","matte and semigloss bay, no white markings, black points, brand on left flank",1984,Same as #54Dealer package of regular run models. Included a strip with a photo of a rider on a grey horse.
Trakehner,9108,JamaicaChester Weber's Driving Champion,"bay, shaded muzzle, black points, three stockings, not off fore",2010,World Equestrian Games(500 made)With hang tag
Trakehner,400154,Trakehner,"golden bay, star, black paints, four stockings",1987,Small World(~467 made)
Trakehner,430050,Trakehner,"chestnut, stripe",2022,Breyer Breeds Collection
Trakehner,701100,Millennium MistWith rosette on blue ribbon,"glossy dark dapple grey, SLT brand on left hip",2000,State Line Tack
Trakehner,701696,Calypso,"light reddish-sandy bay, star and connected stripe, black points, off fore and hind stockings",1996,"USET Festival of Champions(1,000 made)"
Trakehner,702395,Kaleidoscope the Pinto Sporthorse,"light bay tobiano, blaze, grey-shaded muzzle, black and white mane, black tail,",1995,"Breyer Show Special(~7,700 made)With Certificate of Authenticity"
Trakehner,711376,Thorn,glossy softly-metallic buckskin blanket,2020,"BreyerFestSpecial Run(750 made)Stamped ""BreyerFest 2020"" on belly."
Trakehner,711376,Thorn,matte softly-metallic buckskin blanket,2020,"BreyerFestSpecial Run(750 made)Stamped ""BreyerFest 2020"" on belly."
Trakehner,711610,Bravour 54,"bay w/ three socks and a blaze, comes with blue and white ribbon",2023,"BreyerFestCelebration Model (13,200 made)Stamped ""BreyerFest 2023"" on belly."
Trakehner,711610G,Bravour 54,"glossy bay w/ three socks and a blaze, comes with blue and white ribbon",2023,"BreyerFestDiorama Contest Prize(41 made)Stamped ""BreyerFest 2023"" on belly."
Trakehner,,Trakehner HorseWith or without leather English saddle and bridle,"matte and semigloss bay, no white markings, black points, brand on left flank",1979,SearsHoliday CatalogSame as #54
Trakehner,,Trakehner,unpainted white,1980,Just About HorsesVol VII #3
Trakehner,,Trakehner Society Model,"red bay, black points",1983,Trakehner Society(~80-200 made)
Trakehner,,"Trakehner, test run",,1990,BreyerFestLive Auction(1 made)
Trakehner,,Dark Shaded Bay Trakehner,dark shaded bay,1995,BreyerFestLive Auction(1 made)
Trakehner,,Buckskin,buckskin,1996,BreyerFestLive Auction(1 made)
Trakehner,,Shaded Peachy Grey Trakehner #74(In background of photo),shaded peachy grey,1996,BreyerFestLive Auction(1 made)
Trakehner,,Dun Trakehner,"dun, shaded muzzle, dark brown mane, dark brown to dun tail, primitive leg barring, hind stockings",2003,BreyerFestLive Auction(1 made)
Trakehner,,Star Dappled Grey,"glossy dapple grey, blaze, dark grey mane/tail and knees, light grey lower legs",2007,BreyerFestLive Auction(1 made)
Trakehner,,Trakehner,"solid metallic chestnut, blaze",2008,Limited Special Run released via Grab Bag(~10 made)
Trakehner,,Flaxen Liver Chestnut Trakehner (mold #54),flaxen liver chestnut,2017,BreyerFestLive Auction(1 made)
Trakehner,,Trakehner,unpainted,?,Whitewear
Justin Morgan,65,Justin Morgan(1977-1986)Marguerite Henry's Justin Morgan(1987-1989),"matte or semigloss medium/dark bay, no white, black points",1977-1989,
Justin Morgan,65,Justin Morgan(1977-1986)Marguerite Henry's Justin Morgan(1987-1989),"matte or semigloss medium/dark bay, no white, black points",1977-1989,Chalkymodels
Justin Morgan,822,Morgan,"semigloss dark seal brown, no white, black points",1990-1992,
Justin Morgan,878,Double Take - Morgan,"liver chestnut, red shading, short blaze on lower face, brownish-black mane/tail, off fore and near hind stockings",1993-1994,
Justin Morgan,945,Tri-Mi Boot Scootin' Boogie,"matte or slightly semigloss black, large blaze covering muzzle, four stenciled black spots on blaze, black or bi-color eyes, black mane/tail, four high stenciled stockings",1996-1997,Models made in first three months of 1997 have bi-colored eyes
Justin Morgan,1142,Montana Harvest,"dapple shaded buckskin, black points, four socks",2000-2003,With hang tag
Justin Morgan,1288,"Blackjack Model & Book SetWithBlackjack Dreaming of a Morgan Horsepaperback novel, bridle.","semigloss black, eye whites, black mane/tail",2007-2008,
Justin Morgan,2065,Justin Morgan Gift SetWithJustin Morganpaperback novel,"matte or semigloss medium/dark bay, no white, black points",1973-1981,Same as #65
Justin Morgan,430045,Morgan,"liver chestnut, red shading, short blaze on lower face, brownish-black mane/tail, off fore and near hind stockings",2017,Warehouse FindSimilar to #878but with masked facial markings
Justin Morgan,701106,Beautiful Jim Key,"dark shaded bay, snip, black points, near fore and hind socks",2006,State Line Tack/PetSmartStock photo shows only two socks
Justin Morgan,702697,Brown Sugar,"bay, wide blaze and stenciled snip, dorsal stripe, black points, four stockings",1997,"Toys 'R' Us(~4,000-5,000 made)Medallion Series"
Justin Morgan,711440,Happily Ever After,"dappled grey, light and dark grey mane/tail, darker grey legs",2011,BreyerFestContest Prize(30 made)
Justin Morgan,712474,Go Figure,silver bay overo pinto,2023,"Vintage Collectors Club(1,000 made)"
Justin Morgan,713259,English Horse Collector's SetWithBlack StallionandIndian Pony,"red chestnut, solid face, darker chestnut mane/tail, grey-shaded knees and hocks, near hind stocking",1988,JCPenneyHoliday Catalog
Justin Morgan,,Justin MorganWith leather English saddle and bridle,"matte or semigloss medium/dark bay, no white, black points",1980,JCPenneyHoliday CatalogSame as #65
Justin Morgan,,Justin Morgan Gift SetWithJustin Morganpaperback novel,"matte or semigloss medium/dark bay, no white, black points",1982,SearsHoliday CatalogSame as #2065
Justin Morgan,,Justin Morgan Gift SetWithJustin Morganpaperback novel,"matte or semigloss medium/dark bay, no white, black points",1985,Montgomery WardsHoliday CatalogSame as #2065
Justin Morgan,,Banquet Souvenir,"medium bay, black points, no white",1987,Madame Alexander Doll Club Convention Banquet SouvenirAppears to be #65with doll and tack
Justin Morgan,,Bright Palomino,"palomino, white mane/tail",1994,BreyerFestLive Auction(1 made)
Justin Morgan,,Sorrel Justin Morgan with Flaxen Mane/Tail,"sorrel, flaxen mane/tail",1995,BreyerFestLive Auction(1 made)
Justin Morgan,,Highlighted Dark Bay Justin Morgan,dark bay,1995,BreyerFestLive Auction(1 made)
Justin Morgan,,Peach Dun,"peach dun, shaded muzzle, darker peach mane/tail, shaded knees",1996,BreyerFestLive Auction(1 made)
Justin Morgan,,Olive Liver Chestnut,olive liver chestnut,1996,BreyerFestLive Auction(1 made)
Justin Morgan,,Red Bay,"red bay, black points",1996,BreyerFestLive Auction(1 made)
Justin Morgan,,Justin Morgan,"matte buckskin, faint dappling, black points",~2000,"Appears to be a test forMontana Harvest, above. Dappling similar to that model can be seen faintly on left side head and body, and it appears that the buckskin color may have been too heavy and covered most of the dappling. Found at yard sale shortly after Marney Walerius' death."
Justin Morgan,,Justin Morgan,"matte buckskin, faint dappling, black points",~2000,Additional photos
Justin Morgan,,Dapple Rose Grey,"dappled rose grey, dark brownish/grey and light grey mane/tail, darker legs, stockings",2001,BreyerFestLive Auction(1 made)With Certificate of Authenticity.
Justin Morgan,,Dappled Silver Bay Justin Morgan #65,dappled silver bay,2005,BreyerFestLive Auction(1 made)
Justin Morgan,,"Padre, Test of 2012 model","dun, black mane/tail, hind socks",2011,BreyerFestSilent Auction(1 made)
Justin Morgan,,Justin Morgan,"palomino, white mane/tail, three socks, not off hind",?,Test Run
Trotting Arabian Mare (aka Weather Girl),1462,Thunderstorm Weather Girl,"dark grey, shaded muzzle, black points, three socks, near hind partial pastern",2011,Treasure Hunt
Trotting Arabian Mare (aka Weather Girl),1462G,Thunderstorm Weather Girl - Glossy,"glossy dark grey, shaded muzzle, black points, three socks, near hind partial pastern",2011,"BreyerWestVolunteer/Judges' Model, Congress Prize Model13 total made"
Trotting Arabian Mare (aka Weather Girl),1463,Sunny Weather Girl,"palomino, white mane/tail, hind socks",2011,Treasure Hunt
Trotting Arabian Mare (aka Weather Girl),1463G,Sunny Weather Girl - Glossy,"glossy palomino, white mane/tail, hind socks",2011,"BreyerWestVolunteer/Judges' Model, Congress Prize Model(14 total made)"
Trotting Arabian Mare (aka Weather Girl),1464,Partly Cloudy Weather Girl,"grey dappled pinto, black fading to white mane/tail, black lower legs, three socks, hind near stocking",2011,Treasure Hunt
Trotting Arabian Mare (aka Weather Girl),1464G,Partly Cloudy Weather Girl - Glossy,"glossy grey dappled pinto, black fading to white mane/tail, black lower legs, three socks, hind near stocking",2011,"BreyerWestVolunteer/Judges' Model, Congress Prize Model(11 total made)"
Trotting Arabian Mare (aka Weather Girl),1465,Rainbow Weather Girl,"glossy golden blanket pintaloosa, white mane/tail, near stockings",2011,Treasure HuntPrize Model
Trotting Arabian Mare (aka Weather Girl),1465,Rainbow Weather Girl,"matte golden blanket pintaloosa, white mane/tail, near stockings",2011,Treasure HuntPrize Model
Trotting Arabian Mare (aka Weather Girl),1465,Rainbow Weather Girl,translucent rainbow,2011,Treasure HuntPrize Model
Trotting Arabian Mare (aka Weather Girl),1752,Rhapsody in Black,"black, star, black mane/tail, off fore stocking",2016-2018,
Trotting Arabian Mare (aka Weather Girl),1752,SignedThee Desperado& Rhapsody in Black models and portrait of Rhapsody in Black,"black, star, black mane/tail, off fore stocking",2016,BreyerFestSilent Auction(1 made)
Trotting Arabian Mare (aka Weather Girl),10018,Picante,"bay roan, star, socks (right front, right hind)",2024,Flagship stores only
Trotting Arabian Mare (aka Weather Girl),711132,Jasmine,"dapple bay, shaded muzzle, black points, near fore sock",2011,"BreyerFestSpecial Run(1,100 made)""BreyerFest 2011"" on belly"
Trotting Arabian Mare (aka Weather Girl),711271,Assam,matte dapple grey with bloody shoulder/neck,2017,"BreyerFestvolunteer model(~150 made)Stamped ""BreyerFest 2017"" on belly"
Trotting Arabian Mare (aka Weather Girl),711271,Assam,glossy dapple grey with bloody shoulder/neck,2017,"BreyerFestvolunteer model(5 made)Stamped ""BreyerFest 2017"" on belly. With Certificate of Authenticity."
Trotting Arabian Mare (aka Weather Girl),711348,Natasha,bay pinto,2019,"BreyerFestSpecial Run(1,620 made)Stamped ""BreyerFest 2019 30th Anniversary"" on belly"
Trotting Arabian Mare (aka Weather Girl),711348,Natasha,chestnut pinto,2019,"BreyerFestSpecial Run(30 made)Stamped ""BreyerFest 2019 30th Anniversary"" on belly"
Trotting Arabian Mare (aka Weather Girl),712047,Mont Tremblant,"silver filigree, pink muzzle, white points",2011,Collector Club Web Special(350 made)
Trotting Arabian Mare (aka Weather Girl),712057,Winter Haven,"glossy dark palomino, shaded muzzle, white mane/tail, darker lower legs",2011,"Sunshine CelebrationSpecial Run(8 made)Stamped ""2011 Limited Edition"" in gold on belly."
Trotting Arabian Mare (aka Weather Girl),712242,Grace,"dapple grey, black points",2018,Vintage Collectors Club(500 total made)
Trotting Arabian Mare (aka Weather Girl),712242,Grace,"alabaster, light grey points",2018,Vintage Collectors Club(500 total made)
Trotting Arabian Mare (aka Weather Girl),712242,Grace,"mahogany bay, black points, four stockings",2018,Vintage Collectors Club(500 total made)
Trotting Arabian Mare (aka Weather Girl),712499,Flamingo,"rose grey, two hind socks, snip",2022,"Collector Club Web Special(500 made)Stamped ""Flamingo 2023"" on belly."
Trotting Arabian Mare (aka Weather Girl),,Royal Tortuga,translucent blue,2011,BreyerFestLive Auction(1 made)
Trotting Arabian Mare (aka Weather Girl),,Glossy dappled chestnut,"glossy dappled chestnut, shaded muzzle, lighter chestnut mane/tail, near hind pastern",2012,BreyerFestLive Auction(1 made)
Trotting Arabian Mare (aka Weather Girl),,Mold No. 720 Trotting Arabian Mare Bay Roan,bay roan,2015,BreyerFestLive Auction(1 made)
Trotting Arabian Mare (aka Weather Girl),,Glossy Dun Pinto on Mold No. 720,glossy dun tobiano,2016,BreyerFestLive Auction(1 made)
Trotting Arabian Mare (aka Weather Girl),,Fiery Chestnut Blanket Appaloosa,fiery chestnut blanket appaloosa,2021,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Kennebec Count,599,Kennebec Count,"chestnut, flaxen mane/tail, lighter lower 
	legs",2005-2007,
Kennebec Count,599G,Kennebec Count,"glossy chestnut, flaxen mane/tail, lighter 
	lower legs",2005,BreyerFestLive Show Prize(28 made)
Kennebec Count,1426,Chili - Chestnut Pinto,chestnut pinto,2009-2011,My Favorite Horsesseries
Kennebec Count,1723,Weathermont Ethan,mahogany bay,2014-2016,
Kennebec Count,90148,Auld Lang Syne,bay pinto,2009,"Connoisseur 
	Series(350 made)With Certificate of 
	Authenticity"
Kennebec Count,410116,Morgan FamilyWithMarabella,"red bay, broken stripe, black points, near 
	hind sock",2006,JCPenneyHoliday Catalog
Kennebec Count,701905,Grey Morgan Stallion,"fleabitten grey, shaded grey points, four 
	socks",2007,"Pottery 
	Barn Kids"
Kennebec Count,711456,Espresso,"dark liver chestnut, flaxen mane/tail, fore 
	socks, hind coronets",2006,BreyerFestLive Show prize(9 made)With Certificate of Authenticity
Kennebec Count,,Dapple Grey Tobiano Kennebec Count #599,dapple grey tobiano,2005,BreyerFestLive Auction(1 made)
Kennebec Count,,Red Dun,red dun,2007,BreyerFestLive Auction(1 made)
Kennebec Count,,Classic Champagne,champagne,2012,"BreyerFestLive 
				Auction(1 made)"
Valegro (Traditional series),1756,Valegro,"bay, blaze, snip, black points, three stockings, near fore coronet",2015-2019,"Released in UK in 2015, worldwide in 2016.Also sold in #712982, Dressage Show Gift Set – Featuring Valegro"
Valegro (Traditional series),1756,Glossy Valegro,"glossy bay, blaze, snip, black points, three stockings, near fore coronet",2017,BreyerFestOpen & Youth Show(~50 made)
Valegro (Traditional series),1756,Prototype Valegro,"bay, blaze, snip, black points, three stockings, near fore coronet",2015,"Central Park Horse Show(20 made)With clear plastic base, no mold stamp. Most with Certificate of Authenticity."
Valegro (Traditional series),1756BKSET,Valegro Book Set,"""same as 1756""",2016?,
Valegro (Traditional series),1783,Valegro - Gold Medalist,gold,2016,"Limited Edition(3,000 made)"
Valegro (Traditional series),711259,Indu,matte dapple grey,2017,"BreyerFestSpecial Run(800 made)Stamped ""BreyerFest 2017"" on belly"
Valegro (Traditional series),711259,Indu,glossy dapple grey,2017,"BreyerFestSpecial Run(800 total made)Stamped ""BreyerFest 2017"" on belly"
Valegro (Traditional series),711398,Pollock,"glossy pintaloosa with a variegated rainbow coat, golden spots",2021,"BreyerFestSpecial Run(1,600 made)"
Valegro (Traditional series),711398,Pollock,"glossy pintaloosa with a variegated gold coat, rainbow spots",2021,BreyerFestSpecial Run(200 made)
Valegro (Traditional series),711466,Cinza,"grullo extended blanket, black points, leg barring",2016,"BreyerFestSaturday Raffle, Live Auction(26 made)"
Valegro (Traditional series),712223,Acadia,"red chestnut, blaze, four stockings",2017,"Web Special(350 made)Stamped ""Acadia 2017"" on belly."
Valegro (Traditional series),712299,Lucien,bay tobiano,2019,"Web Special""Collector Club 2019"" stamped on belly"
Valegro (Traditional series),712403,Bondi,dapple grey,2021,True Blue Breyerevent(200 made)
Valegro (Traditional series),,Valegro Palomino Pinto on Mold No. 737,"palomino pinto, bald face, near hind stocking",2016,BreyerFestLive Auction(1 made)
Valegro (Traditional series),,Red Dun Splash Pinto,red dun splash pinto,2018,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Valegro (Traditional series),,Drunk on you And High on Summertime,glossy chestnut sabino,2018,Design Your Own Breyer
Valegro (Traditional series),,Test ValegroWithjousting caparison costume,glossy dappled black,2019,BreyerFestSilent Auction(1 made)
Valegro (Traditional series),,Shaded Dapple Dark Chestnut Pinto,shaded dapple dark chestnut pinto,2022,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Khemosabi,Khemosabi+++,"semigloss bay, blaze running down over lips 
	to a pink chin, black points, four stockings",1990-1995,
Khemosabi,Arabian Stallion,"dappled rose grey, darker points, four socks",1999-2000,
Khemosabi,Silent KnightWith holiday-style Arabian costume,"flea bitten grey, chestnut speckles, lighter 
	grey mane/tail, shaded leg joints",2003,Holiday Horse
Khemosabi,Blonde Chestnut Khemosabi,blonde chestnut,1995,BreyerFestLive Auction(1 made)
Khemosabi,Liver Chestnut Khemosabi,liver chestnut,1995,BreyerFestLive Auction(1 made)
Khemosabi,Starry Dapple with Black Points,starry dapple with black points,1996,BreyerFestLive Auction(1 made)
Khemosabi,Set of FourDecoratorKhemosabi Models,"Florentine, Wedgewood Blue, Gold Charm, Copenhagen",2014,BreyerFestSilentAuction(1 set made)
Vanner Foal,10091,Fighter &Survivor,black sabino,2024,"BreyerFestStore Special(2,500 made)""BreyerFest 2024"" stamped on belly"
Vanner Foal,90211,Rhiannon &Rhemi,palomino tobiano,2023,Premier Collection
Lady Phase,40,Lynn Anderson'sLady Phase,"matte and semigloss red chestnut, solid face, flaxen mane/tail, near fore and hind stockings",1976-1985,Color varies from dark red-brown to deep pinky-strawberry to golden chestnut. Stockings may vary. Some with stenciled forelock.
Lady Phase,40,Lynn Anderson'sLady Phase,"matte and semigloss red chestnut, solid face, flaxen mane/tail, near fore and hind stockings",1976-1985,Showing shade variation.
Lady Phase,711,Breezing Dixie Famous Appaloosa Mare,"dark bay blanket, star, tricolor eyes, pink in nostrils, black points, black hooves",1988,Limited EditionEarly models had painted grey hooves. Later models had airbrushed black hooves.
Lady Phase,711,Breezing Dixie Famous Appaloosa Mare,"dark bay blanket, star, tricolor eyes, pink in nostrils, black points, grey hooves",1988,Limited EditionEarly models had painted grey hooves. Later models had airbrushed black hooves.
Lady Phase,771,Paint Mare,"chestnut overo, chestnut mane/tail, broad blaze, four high stockings",1999-2001,
Lady Phase,860,Family Appaloosa Mare,"black leopard, grey and white striped mane/tail, light grey legs",1992-1994,
Lady Phase,1127,Silky Keno,"semigloss black overo, black mane, black and white tail, bald face, stockings",2001,Limited EditionWith hang tag
Lady Phase,1132,American Quarter HorseShort tail version,"shaded bay, black points, hind stockings",2005-2008,
Lady Phase,1132,American Quarter HorseSwish tail version,"shaded bay, black points, hind stockings",2006-2008,
Lady Phase,1132G,Glossy American Quarter HorseShort tail,"glossy shaded bay, black points, hind stockings",2005,BreyerFestLive Show Prize(24 made)
Lady Phase,1171,Paint Mare,"grullo pinto, dorsal stripe, broad blaze over muzzle, black points, high stockings, primitive leg barring",2002,
Lady Phase,1195,Quo Vadis,"black, diamond star and short stripe, black mane/tail",2002,Limited EditionAQHA Magnificent Mares Series
Lady Phase,1211,Stock HorseShort tail version,"fleabitten grey, shaded muzzle with pink snip, eye whites, black points, near hind stocking",2006,Treasure Hunt
Lady Phase,1211,Stock HorseLong tail version,"fleabitten grey, shaded muzzle with pink snip, eye whites, black points, near hind stocking",2006,Treasure Hunt
Lady Phase,1211,Glossy Stock Horse,"glossy fleabitten grey, shaded muzzle with pink snip, eye whites, black points, near hind stocking",2006,BreyerFestLive Show Prize(4 total made)Two different colors reported; not sure about other two.
Lady Phase,1212,Stock HorseShort tail version,"shaded sorrel, blaze, eye whites, chestnut mane/tail, dark shaded legs, four stockings",2006,Treasure Hunt
Lady Phase,1212,Stock HorseLong tail version,"shaded sorrel, blaze, eye whites, chestnut mane/tail, dark shaded legs, four stockings",2006,Treasure Hunt
Lady Phase,1213,Stock HorseShort tail version,"black blanket, star, eye whites, black mane/tail",2006,Treasure Hunt
Lady Phase,1213,Stock HorseLong tail version,"black blanket, star, eye whites, black mane/tail",2006,Treasure Hunt
Lady Phase,1214,Stock HorseShort tail version,"palomino pinto, shaded muzzle, eye whites, white mane/tail, four stockings",2006,Treasure Hunt
Lady Phase,1214,Stock HorseLong tail version,"palomino pinto, shaded muzzle, eye whites, white mane/tail, four stockings",2006,Treasure Hunt
Lady Phase,1214,Glossy Treasure Hunt Stock Horse,"glossy palomino pinto, shaded muzzle, eye whites, white mane/tail, four stockings",2006,BreyerFestLive Show Prize(4 total made)Two different colors reported; not sure about other two.
Lady Phase,1215,Stock HorseLong tail version,"Wedgewood, bald face, pinked muzzle and ears, eye whites, white mane/tail",2006,Treasure HuntPrize Model
Lady Phase,1215,Stock HorseShort tail version,"Wedgewood, bald face, pinked muzzle and ears, eye whites, white mane/tail",2006,Treasure HuntPrize Model
Lady Phase,1241,Diamonds Sparkle,"palomino, star and stripe, shaded muzzle, white mane/tail",2004,Limited EditionAQHA Magnificent Mares Series
Lady Phase,1241,Diamonds Sparkle,"glossy palomino, star and stripe, shaded muzzle, white mane/tail",2004,BreyerFestLive Show Prize(4 made)
Lady Phase,1275,Treasured Moves Paint Performance HorseLong tail version,"shaded sorrel tovero, blaze, flaxen and white mane/tail, four stockings",2007-2008,
Lady Phase,1275,Treasured Moves - Paint Performance HorseSwish tail version,"shaded sorrel tovero, blaze, flaxen and white mane/tail, four stockings",2007-2008,
Lady Phase,1275G,Glossy Treasured Moves Paint Performance Horse,"glossy shaded sorrel tovero, blaze, flaxen and white mane/tail, four stockings",2007,BreyerWestLive Show Prize Model(13 made)
Lady Phase,1287,Golden Charm Glossy Appaloosa Stock Horse,"glossy Gold Charm extended blanket, bald face, pink muzzle, four socks",2006,Treasure HuntBreyer Internet Lottery(250 made)
Lady Phase,1289,Stock Horse,"glossy honey bay, bald face, eye whites, back mane/tail, four socks",2006,Treasure HuntBreyer Internet Lottery(~240 made)
Lady Phase,1428,ELCRBenefit Model,"glossy buckskin, dorsal stripe, darker buckskin mane/tail, shaded muzzle, eye whites, three socks, not off fore",2010,With hang tag
Lady Phase,1446,Overo Pinto Mare & FoalWithStanding Stock Horse Foal,"bay overo, bald face, pink muzzle, black mane/tail, darker legs, off fore stocking",2012-2015,
Lady Phase,1810,Truly Unsurpassed,"bay pinto, bald face",2019-present,
Lady Phase,1810/8224,Glossy Truly Unsurpassed,"glossy bay pinto, bald face",2020,Customer Appreciation Event(~200-250 made)
Lady Phase,3075,"Lynn Anderson's Lady Phase Gift SetWith book, carrying case, blue ribbon","matte and semigloss red chestnut, solid face, flaxen mane/tail, various stockings",1976-1985,Same as #40
Lady Phase,90122,Hope-N-Glory,"coppery chestnut overo, star, lighter chestnut mane/tail, hind stockings",2002,Connoisseur Series(350 made)With Certificate of Authenticity
Lady Phase,90122,Hope-N-GloryArtist's Proof,"coppery chestnut overo, star, lighter chestnut mane/tail, hind stockings",2006,BreyerWestRaffle Model(2 made)
Lady Phase,301179,Jolene,dunalino,2022,Tractor Supply Co.
Lady Phase,410040,Lady Phase,"red roan/flea bitten grey, chestnut mane/tail, knees and hocks, tri-color eyes",1989,"Breyer Signing Parties(2,000 made)"
Lady Phase,410385,American Quarter Horse Two-Piece SetWithAdios,"semigloss dark chestnut, jagged blaze, eye whites, shaded muzzle, hind and near fore socks",2005,JCPenneyHoliday Catalog
Lady Phase,410392,Night DeckWithStanding Stock Horse Foal,"matte or semigloss black, solid face, black mane/tail, near hind sock,",1992,"Black Horse Ranch(1,500 made)Most with Certificate of Ownership. Most are also hand numbered in gold on belly."
Lady Phase,430040,Blue Denim Lady Phase,"glossy solid blue denim, darker points, white on lower tail",2021,Test Piece Raffle Model(1 made)With Certificate of Authenticity
Lady Phase,492092,Spirit of the WestWithStanding Stock Horse Foal,"slight semigloss bay overo, bald face, white muzzle and chin, black points, off fore and hind stockings",1992,"SearsHoliday Catalog(4,500 made)"
Lady Phase,620005,Mare and Foal Care SetWithAmber,"shaded sorrel tovero, blaze, flaxen and white mane/tail, four stockings",2009,Breyer Online StoreSame as #1275
Lady Phase,700193,Prairie Flower - Equitana '93,"red bay blanket, black points, four stockings",1993,"German Export for Equitana '93,BreyerFestLive Auction(900 made)"
Lady Phase,700593,Watchful Mare and FoalWithStanding Stock Horse Foal,"alabaster, grey shading, pink ears and nose, pale grey mane, pale grey and white striped tail, darker grey knees, hocks, and fetlocks",1993,"Toys 'R' UsCollector Edition(18,000 made)"
Lady Phase,700900,Leah's Fancy Chick,"buckskin pinto, shaded muzzle, black and white mane/tail",2000,"BreyerFestCelebration Model(4,400 made)"
Lady Phase,701730,Sonsela(Bay Appaloosa Mare),"bay blanket, star, black points, hind and off fore socks",20152016,Mid States DistributingLimited EditionWeb Special
Lady Phase,707395,Lady Phase,"palomino, snip, tricolor eyes, white mane/tail, hind stockings",1995,BreyerFestVolunteer Model(~40 made)
Lady Phase,710716,Red Rock,"red roan, star, snip, shaded muzzle, dark chestnut points, near fore sock, near hind stocking",2009,"Mid States DistributingLimited Edition(3,000 made)Hand numbered on belly."
Lady Phase,711049,Sprinkles,"blue roan leopard, bi-color eyes, black points",2009,"BreyerFestSpecial Run(1,150 made)""BreyerFest 2009"" stamped on belly"
Lady Phase,711159,Twill,"blue denim pinto, bald face, pink muzzle, blue mane, blue and white tail, off fore stocking",2013,"BreyerFestSpecial Run(800 made)""BreyerFest 2013"" stamped on belly"
Lady Phase,711417,Gold Rush,"dappled palomino, star and stripe, flaxen mane/tail, hind socks",2007,"BreyerFestRaffle Prize, Live Auction(26 made)With Certificate of Authenticity"
Lady Phase,711455,Crème de la Crème,dapple rose grey,2015,BreyerFestOpen Show Grand Prize(~10 made)With Certificate of Authenticity
Lady Phase,711621,Surrey and AxleWithStanding Stock Horse FoalorAction Stock Horse Foal,"bay few spot leopard appaloosa, swish tail",2023,"BreyerFestSpecial Run(2,300 made)Stamped ""BreyerFest 2023''"
Lady Phase,711694,Horse Salute Gift SetWithMorganglanzandPhar Lap,"chestnut leopard, chestnut mane/tail, chestnut shaded knees and hocks",1994,"JCPenneyHoliday Catalog(2,620 made)"
Lady Phase,712005,Delia,"dappled golden chestnut, shaded muzzle, eye whites, chestnut mane, chestnut and flaxen tail, three socks, not off fore",October 2008,Web Special(500 made)With Certificate of Authenticity
Lady Phase,712034,Smokin Hot Chic,"glossy shaded dapple grey, grey mane, grey and white tail, dark grey legs",2010,QuarterFest(400 made)
Lady Phase,712171,Rosieand BaileyWithAction Stock Horse Foal,"red roan, darker red mane/tail and lower legs",2016,"Vintage Club(500 made)With numbered Certificate of Authenticity booklet. Stamped ""2016 Vintage Club"" on belly."
Lady Phase,712268,Oakley,bay splash overo,2018,Scottsdale Stampede(76 made)
Lady Phase,717450,Breyer Traditional Horse SetWithRugged LarkandQuarter Horse Gelding,"dapple grey, bald face, most with dorsal stripe, black points",1990,"JCPenneyHoliday Catalog(3,500 made)"
Lady Phase,717450BMO,Lady PhaseWith green stable blanket,"dapple grey, bald face, most with dorsal stripe, black points",1996,Leftovers of above SR
Lady Phase,760238,Mother Lode,"glossygold, bald face, black points, four socks",2013,Collectors ClubSpecial Offer(80 made)
Lady Phase,760238,Mother Lode,"glossygold pinto, shaded muzzle, black mane/tail, four stockings",2013,Collectors ClubSpecial Offer(10 made)
Lady Phase,760238,Mother Lode,"glossygold extended blanket, black points, four socks",2013,Collectors ClubSpecial Offer(10 made)
Lady Phase,,"Lady PhaseWith purple first place ribbon, handout","matte and semigloss red chestnut, solid face, flaxen mane/tail, near fore and hind stockings",1977,JCPenneyHoliday CatalogSame as #40
Lady Phase,,Lady Phase,"buckskin with solid face and black nose, black points",1979,VaLes Bead Trailer(200 made)
Lady Phase,,Lady Phase,"buckskin, bald face, pink nose, black ear tips, black points(""B"" stamp on inner left stifle)",1980,Model Horse Congress(~244 made)
Lady Phase,,Lady Phase,unpainted white,1980,Just About HorsesVII/#3
Lady Phase,,Quarter Horse Mare and FoalWithStanding Stock Horse Foal,"buckskin, with bald face, solid face or star, grey nose, black points",1983-1984,"JCPenneyHoliday Catalog(8,000 made)Set shown with box and catalog"
Lady Phase,,Quarter Horse Mare and FoalWithStanding Stock Horse Foal,"buckskin, star, grey nose, black points",1983-1984,"JCPenneyHoliday Catalog(8,000 made)Uncommon version with star shown."
Lady Phase,,"Smoke Lady Phase, test run",,1990,BreyerFestLive Auction(1 made)
Lady Phase,,"Smoke Lady Phase, test run",,1990,BreyerFestLive Auction(1 made)
Lady Phase,,"Lady Phase, test run",,1990,BreyerFestLive Auction(1 made)
